COD_MATRICULA|ALUNO_MATRICULADO_PROX_PERIODO|ALUNO_MATRICULADO|CONDICAO_GERENCIAL|CONDICAO_IMPEDE_RENOVACAO|TIPO_INADIMPLENCIA|RISCO_INADIMPLENCIA|COD_CURSO|COD_TURNO|COD_TIPO_CURSO|CLASSE_PAGANTE_ANT|CLASSE_PAGANTE_ATU|NOVO_FIES|PRV_ANT|PRV_ATU|LATE_COMER|NOM_SITUACAO_ALUNO|NOM_SITUACAO_PERIODO_ANT|VAL_A_PAGAR|VAL_A_PAGAR_PAR|VAL_DIVIDA_MENS|VAL_DIVIDA_TOTAL|FAIXA_DE_DIVIDA|ADIMP_N_REN|CR_PER_ANT|FAIXA_APROVACAO|QTD_ACESSOS_19_2|QTD_ACESSOS_20_1|IND_INDICIO_EVASAO|CLASSIFICACAO_PROP_EVASAO|CLASSIFICACAO_PROP_RENOVACAO|ACEITE_CONTRATO|PASTA_VERMELHA|REQ_AGEND_TRANC|SAFRA
201902626141|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|SEM RISCO|1|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|812.43|0.0|0.0|0.0|SEM DIVIDA|0|7.25|7 - 100%|37.0|39.0|0|3 - Médio Baixo|3 - Médio Baixo|1|0|0|VETERANO
201902635124|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|BAIXO RISCO|166|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|665.26|0.0|0.0|0.0|SEM DIVIDA|0|7.88|7 - 100%|30.0|24.0|0|4 - Baixo|3 - Médio Baixo|1|0|0|VETERANO
201902641205|0|0|8 - BAIXO PROPENSO|BOLETO RENOVACAO NAO PAGO|ADIMPLENTE|BAIXO RISCO|1|3|11|PAR|PAR|NÃO|0|0|ON TIME COMER|Ativo|Cursado|616.09|0.0|0.0|0.0|SEM DIVIDA|1|4.13|3 - 21% A 40%|47.0|30.0|0|3 - Médio Baixo|4 - Baixo|1|0|0|VETERANO
201902642805|0|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|BAIXO RISCO|21|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|806.22|0.0|0.0|0.0|SEM DIVIDA|0|8.19|7 - 100%|124.0|107.0|1|3 - Médio Baixo|3 - Médio Baixo|1|0|1|VETERANO
201902643526|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|BAIXO RISCO|372|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|897.52|0.0|0.0|0.0|SEM DIVIDA|0|6.64|6 - 81% A 99%|81.0|46.0|0|3 - Médio Baixo|3 - Médio Baixo|1|0|0|VETERANO
201902645987|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|SEM RISCO|11|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|187.78|0.0|0.0|0.0|SEM DIVIDA|0|8.67|7 - 100%|92.0|65.0|0|2 - Médio Alto|3 - Médio Baixo|1|0|0|VETERANO
201902647238|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|BAIXO RISCO|372|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|580.43|0.0|0.0|0.0|SEM DIVIDA|0|6.68|4 - 41% A 60%|59.0|39.0|0|1 - Alto|3 - Médio Baixo|1|0|0|VETERANO
201902665635|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|BAIXO RISCO|4070|3|4|PROUNI|PROUNI|NÃO|0|0|ON TIME COMER|Ativo|Cursado|0.0|0.0|10.54|10.54|SEM DIVIDA|0|7.79|7 - 100%|28.0|38.0|0|2 - Médio Alto|3 - Médio Baixo|1|0|0|VETERANO
201902667451|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|BAIXO RISCO|372|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|707.02|0.0|0.0|0.0|SEM DIVIDA|0|6.34|3 - 21% A 40%|115.0|91.0|0|3 - Médio Baixo|3 - Médio Baixo|1|0|0|VETERANO
201902668189|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|MEDIO RISCO|166|3|11|PAR|PAR|NÃO|0|0|ON TIME COMER|Ativo|Cursado|1200.0|4.7|0.0|0.0|SEM DIVIDA|0|5.54|3 - 21% A 40%|184.0|129.0|0|3 - Médio Baixo|3 - Médio Baixo|1|0|0|VETERANO
